"GroupName","GroupType","GroupScope","Description","Category","MembershipCriteria","AutoAssignment"
"Software Installation","Security","Global","Software installation rights","Resource Access","IT staff and senior management","True"
"Printer Access Main","Security","Global","Main office printer access","Resource Access","Seattle main office users","True"
"Printer Access Engineering","Security","Global","Engineering printer access","Resource Access","Seattle engineering office users","True"
"Printer Access Finance","Security","Global","Finance printer access","Resource Access","Seattle finance office users","True"
"Color Printer Access","Security","Global","Color printer access","Resource Access","Marketing and executive teams","True"
"Server Room Access","Security","Global","Physical server room access","Physical Access","IT staff and facilities","True"
"Executive Floor Access","Security","Global","Executive floor physical access","Physical Access","Executive team and assistants","True"
"After Hours Access","Security","Global","Building access after hours","Physical Access","Management and IT staff","True"
"Conference Room Booking","Security","Global","Conference room booking rights","Resource Access","All employees","True"
"Expense System Access","Security","Global","Expense reporting system","Application Access","All employees except interns","True"
"Payroll System Access","Security","Global","Payroll system access","Application Access","HR and finance teams","True"
"CRM System Access","Security","Global","CRM system access","Application Access","Sales and marketing teams","True"
"Project Management Tools","Security","Global","Project management software","Application Access","Project management teams","True"
"Development Tools","Security","Global","Software development tools","Application Access","Engineering teams","True"
"Design Tools","Security","Global","Design and creative software","Application Access","Marketing and creative teams","True"
"Financial Applications","Security","Global","Financial software access","Application Access","Finance and accounting teams","True"
"HR Applications","Security","Global","HR software access","Application Access","Human Resources team","True"
"Business Intelligence","Security","Global","BI and reporting tools","Application Access","Management and analysts","True"
"Database Access Read","Security","Global","Database read access","Application Access","Analysts and managers","True"
"Database Access Write","Security","Global","Database write access","Application Access","Developers and data analysts","True"
"Backup System Access","Security","Global","Backup and recovery access","Application Access","IT staff","True"
"Monitoring System Access","Security","Global","System monitoring access","Application Access","IT staff","True"
"Security Event Review","Security","Global","Security event log access","Application Access","IT security staff","True"
"Compliance Reporting","Security","Global","Compliance reporting access","Application Access","Compliance and audit staff","True"
